YEAR,MO,DY,LAT,LON,T-IKO,TMIN-IKO,TMAX-IKO,RH2M-IKO
1983,3,25,6.62051,3.52061,28.66,25.28,33.37,74.61
1983,3,26,6.62051,3.52061,28.78,25.85,33.21,74.74
1983,3,27,6.62051,3.52061,28.58,25.88,32.72,75.93
1983,3,28,6.62051,3.52061,28.55,25.54,32.68,75.93
1983,3,29,6.62051,3.52061,28.33,26.29,31.95,81.86
1983,3,30,6.62051,3.52061,28.31,26.23,31.48,78.61
1983,3,31,6.62051,3.52061,27.57,25.99,30,82.23
1983,4,1,6.62051,3.52061,27.65,25.42,31.44,79.77
1983,4,2,6.62051,3.52061,26.81,24.76,29.73,84.34
1983,4,3,6.62051,3.52061,26.3,24.54,28.66,84.58
1983,4,4,6.62051,3.52061,26.56,24.04,29.48,83.62
1983,4,5,6.62051,3.52061,26.97,24.81,30.24,86.66
1983,4,6,6.62051,3.52061,27.43,25.39,30.34,83.94
1983,4,7,6.62051,3.52061,28.05,25.61,31.67,80.54
1983,4,8,6.62051,3.52061,27.66,25.36,31,81.72
1983,4,9,6.62051,3.52061,27.23,25.22,30.17,84.43
1983,4,10,6.62051,3.52061,27.58,25,31.16,82.27
1983,4,11,6.62051,3.52061,27.1,24.98,30.03,83.84
1983,4,12,6.62051,3.52061,27.68,24.67,31.9,81.28
1983,4,13,6.62051,3.52061,27.38,24.73,31.55,83.37
1983,4,14,6.62051,3.52061,27.18,24.03,31.69,80.79
1983,4,15,6.62051,3.52061,27.1,23.98,31.14,83.17
1983,4,16,6.62051,3.52061,27.55,25,31.13,82.29
1983,4,17,6.62051,3.52061,27.22,24.88,30.4,85.38
1983,4,18,6.62051,3.52061,27.52,24.83,31.13,83.15
1983,4,19,6.62051,3.52061,27.56,25.22,30.72,83.64
1983,4,20,6.62051,3.52061,27.06,25.42,30,86.83
1983,4,21,6.62051,3.52061,27.13,25.3,29.98,84.05
1983,4,22,6.62051,3.52061,27.35,24.82,30.35,82.94
1983,4,23,6.62051,3.52061,28.02,25.89,31.33,80.05
1983,4,24,6.62051,3.52061,27.86,25.17,31.45,80.09
1983,4,25,6.62051,3.52061,27.31,25.37,29.78,83.42
1983,4,26,6.62051,3.52061,27.3,25.36,29.95,83.86
1983,4,27,6.62051,3.52061,26.95,24.86,29.89,83.07
1983,4,28,6.62051,3.52061,27.29,24.1,31.31,80.41
1983,4,29,6.62051,3.52061,27.34,25.24,30.3,82.53
1983,4,30,6.62051,3.52061,27.77,25.06,31.38,81.07
1983,5,1,6.62051,3.52061,27.66,25.22,31.05,82.81
